season_end,player,age,gp,toi,teams
2013,Nikolai Kulemin,26.0,48.0,13:23:25,TOR
2013,Paul Martin,31.0,34.0,14:21:03,PIT
2013,Kevin Shattenkirk,24.0,48.0,17:02:28,STL
2013,Matt Stajan,29.0,43.0,12:17:58,CGY
2013,Viktor Stålberg,27.0,47.0,11:03:42,CHI
2013,Matt Carle,28.0,48.0,18:59:54,TBL
2013,John Carlson,23.0,48.0,18:25:00,WSH
2013,Drew Doughty,23.0,48.0,21:06:56,LAK
2013,Alexander Edler,26.0,45.0,17:53:10,VAN
2013,Christian Ehrhoff,30.0,47.0,19:44:00,BUF
2013,Nathan Horton,27.0,43.0,12:04:47,BOS
2013,Marcus Johansson,22.0,34.0,09:23:55,WSH
2013,Jamie McGinn,24.0,47.0,13:32:23,COL
2013,Mason Raymond,27.0,46.0,12:07:56,VAN
2013,Fedor Tyutin,29.0,48.0,19:16:35,CBJ
2013,Dennis Wideman,29.0,46.0,19:11:07,CGY
2013,Jay Bouwmeester,29.0,47.0,19:17:48,2TM
2013,Jay Bouwmeester,29.0,33.0,13:50:16,CGY
2013,Jay Bouwmeester,29.0,14.0,05:27:32,STL
2013,Jussi Jokinen,29.0,43.0,11:03:33,2TM
2013,Jussi Jokinen,29.0,33.0,08:34:23,CAR
2013,Jussi Jokinen,29.0,10.0,02:29:10,PIT
2013,Matt Cooke,34.0,48.0,11:46:13,PIT
2013,Michael Del Zotto,22.0,46.0,17:46:02,NYR
2013,Mike Fisher,32.0,38.0,12:19:33,NSH
2013,Michael Grabner,25.0,45.0,11:05:43,NYI
2013,Dany Heatley,32.0,36.0,11:07:13,MIN
2013,Shawn Matthias,24.0,48.0,12:09:07,FLA
2013,Andy McDonald,35.0,37.0,10:38:24,STL
2013,Kyle Palmieri,21.0,42.0,08:37:44,ANA
2013,Antoine Vermette,30.0,48.0,14:35:48,PHX
2013,Pierre-Marc Bouchard,28.0,43.0,09:59:32,MIN
2013,Dan Boyle,36.0,46.0,17:28:42,SJS
2013,Brent Burns,27.0,30.0,08:08:27,SJS
2013,Brandon Dubinsky,26.0,29.0,08:53:46,CBJ
2013,Victor Hedman,22.0,44.0,16:37:01,TBL
2013,Aleš Hemský,29.0,38.0,09:56:44,EDM
2013,Clarke MacArthur,27.0,40.0,09:56:22,TOR
2013,John Mitchell,28.0,47.0,13:07:14,COL
2013,Dave Moss,31.0,45.0,11:39:46,PHX
2013,Ryan O'Reilly,21.0,29.0,08:56:44,COL
2013,T.J. Oshie,26.0,30.0,09:32:48,STL
2013,Benoît Pouliot,26.0,34.0,07:30:02,TBL
2013,Brent Seabrook,27.0,47.0,17:13:57,CHI
2013,Patrick Sharp,31.0,28.0,08:47:12,CHI
2013,Joel Ward,32.0,39.0,09:50:01,WSH
2013,Travis Zajac,27.0,48.0,15:37:35,NJD
